AAF;IFN-alpha activation factor;AAF$CONS;6
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;AS$OCAB_01;6
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;AS$OCAB_02;6
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;AS$POU2F1A_02;6
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;AS$POU2F1A_03;6
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;HS$IGH_06;6;G000318
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;HS$TK_10;6;G000399
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;MOUSE$IGH_66;6;G000537
OCA-B;B-cell Oct-binding protein 1,Bob1,OBF1,OCA-B,Oct coactivator from B cells,POU2AF1;MOUSE$IGH_67;6;G000537
TFIIF-alpha;GTF2F1,RAP74,TFIIF-alpha,transcription initiation factor IIF, alpha subunit;AD$MLP_11;6;G000010
TFIIF-alpha;GTF2F1,RAP74,TFIIF-alpha,transcription initiation factor IIF, alpha subunit;AD$MLP_17;6;G000010
TFIIF-alpha;GTF2F1,RAP74,TFIIF-alpha,transcription initiation factor IIF, alpha subunit;AD2$IVA2_04;6;G000009
TFIIF-beta;RAP30;AD$MLP_11;6;G000010
TFIIF-beta;RAP30;AD$MLP_17;6;G000010
TFIIF-beta;RAP30;AD2$IVA2_04;6;G000009
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;AS$JUND_03;4
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;HS$TGFB1_10;3;G000396
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;HS$TGM1_01;3;G044089
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;HS$TGM1_03;3;G044089
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;HS$TIMP1_06;3;G001409
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;MOUSE$SPP1_24;3;G002357
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$AGTR1_01;3;G014003
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$IBSP_15;3;G041922
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$MDM2_01;3;G009597
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$MMP13_04;3;G021709
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$MMP2_02;3;G001741
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$NOX1_01;3;G093975
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$NPPB_06;3;G001181
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$NR4A1_04;3;G005538
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$SST_02;3;G000795
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$TH_16;3;G000800
JunD;Jun-D,TRANSCRIPTION FACTOR JUN-D;RAT$TIMP1_02;3;G002692
Fra-2;Fra2;AS$FRA2_01;3
Fra-2;Fra2;HS$ABCA1_12;3;G008911
Fra-2;Fra2;HS$MMP1_12;3;G000229
Fra-2;Fra2;HS$RELB_01;3;G004623
Fra-2;Fra2;MOUSE$STAR_05;3;G041882
Fra-2;Fra2;MOUSE$TIMP1_04;3;G000616
Fra-2;Fra2;RAT$GCG_26;3;G000741
Fra-2;Fra2;AS$AP1_28;4
Fra-2;Fra2;HS$TGFB1_10;3;G000396
Fra-2;Fra2;HS$TIMP1_05;3;G001409
Fra-2;Fra2;MOUSE$SCC_09;3;G000600
Fra-2;Fra2;RAT$CEBPB_02;3;G013627
Fra-2;Fra2;RAT$CEBPB_03;4;G013627
Fra-2;Fra2;RAT$DBH_01;3;G001944
Fra-2;Fra2;RAT$GGT1_04;3;G031376
Fra-2;Fra2;RAT$IBSP_16;3;G041922
Fra-2;Fra2;RAT$MMP13_04;3;G021709
Fra-2;Fra2;RAT$MMP2_03;3;G001741
Fra-2;Fra2;RAT$MMP9_01;3;G002973
Fra-2;Fra2;RAT$NR4A1_03;3;G005538
Fra-2;Fra2;RAT$RGS4_01;3;G013946
Fra-2;Fra2;RAT$TH_01;3;G000800
Nfe2l1;LCR-F1,Lcrf1,NF-E2-related factor 1,NFE2L1,NRF1,nuclear factor, erythroid derived 2,-like 1,TCF-11,TCF11;HS$NQO1_03;4;G006920
Nfe2l1;LCR-F1,Lcrf1,NF-E2-related factor 1,NFE2L1,NRF1,nuclear factor, erythroid derived 2,-like 1,TCF-11,TCF11;MOUSE$GCLM_03;3;G021435
Nfe2l1;LCR-F1,Lcrf1,NF-E2-related factor 1,NFE2L1,NRF1,nuclear factor, erythroid derived 2,-like 1,TCF-11,TCF11;MOUSE$SP7_03;3;G063905
BTEB1;basic transcription element binding protein 1,BTEB-1;AS$BTEB3_01;6
BTEB2;basic transcription element binding protein 2,BTEB-2,KLF5;AS$BTEB3_01;6
BTEB2;basic transcription element binding protein 2,BTEB-2,KLF5;HS$BIRC5_06;3;G005829
BTEB2;basic transcription element binding protein 2,BTEB-2,KLF5;HS$MYC_45;3;G000221
BTEB2;basic transcription element binding protein 2,BTEB-2,KLF5;HS$MYC_47;3;G000221
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_11;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_17;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_30;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_31;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_32;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_33;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD$MLP_34;6;G000010
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;AD2$IVA2_04;6;G000009
TFIIA-alpha/beta precursor (major);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-L,TFIIA-LN/LC;HIV1$HIV1_12;6;G000167
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_11;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_17;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_30;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_31;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_32;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_33;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD$MLP_34;6;G000010
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);AD2$IVA2_04;6;G000009
TFIIA-alpha/beta precursor (minor);general transcription factor IIA, 1, 19/37kDa,GTF2A1,TF2A1,TFIIA,TFIIA-alpha/beta precursor(h),transcription initiation factor IIA alpha/beta precursor (minor);HIV1$HIV1_12;6;G000167
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;AS$RUNX3_;2
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;HS$ABCC1_05;3;G019245
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;HS$BCL2_13;3;G003555
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;HS$KIR2DL3_01;3;G021617
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;HS$KIR2DL4_01;3;G021626
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;HS$KIR3DL3_01;3;G021166
AML2;Acute myeloid leukemia 2 protein,AML2,CBF-alpha 3,CBFA3,Core-binding factor, alpha 3 subunit,PEBP2alphaC1,Polyomavirus enhancer binding protein 2 alpha C subunit,Runt-related transcription factor 3,RUNX3;HS$MDR1_31;3;G001053
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_11;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_17;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_30;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_31;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_32;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_33;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD$MLP_34;6;G000010
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;AD2$IVA2_04;6;G000009
TFIIA-gamma;general transcription factor IIA, 2, 12kDa,GTF2A2,TF2A2,TFIIA,TFIIA p12 subunit,TFIIA-12,TFIIA-gamma,TFIIA-S,TFIIAS,transcription initiation factor IIA gamma chain;HIV1$HIV1_12;6;G000167
TOA1;TFIIA (32 kDa subunit),YOR194C;AD$MLP_30;6;G000010
TOA1;TFIIA (32 kDa subunit),YOR194C;AD$MLP_31;6;G000010
TOA1;TFIIA (32 kDa subunit),YOR194C;Y$LEU2_02;6;G000941
TOA2;TFIIA (13.5 kDa subunit),YKL058W;AD$MLP_30;6;G000010
TOA2;TFIIA (13.5 kDa subunit),YKL058W;AD$MLP_31;6;G000010
TOA2;TFIIA (13.5 kDa subunit),YKL058W;Y$LEU2_02;6;G000941
PEBP2alphaB1;AML1,AML1b,CBFA2,CCAAT Binding Factor alpha2,PEBP2alphaB;AS$AML1_03;2
PEBP2alphaB1;AML1,AML1b,CBFA2,CCAAT Binding Factor alpha2,PEBP2alphaB;AS$AML1_04;2
PEBP2alphaB1;AML1,AML1b,CBFA2,CCAAT Binding Factor alpha2,PEBP2alphaB;AS$AML1_05;2
PEBP2alphaB1;AML1,AML1b,CBFA2,CCAAT Binding Factor alpha2,PEBP2alphaB;HS$IGA_05;1;G002583
PEBP2alphaB1;AML1,AML1b,CBFA2,CCAAT Binding Factor alpha2,PEBP2alphaB;MOUSE$MPO_01;2;G001043
PEBP2alphaB1;AML1,AML1b,CBFA2,CCAAT Binding Factor alpha2,PEBP2alphaB;PA$PY_04;2;G000650
PEBP2alphaB2;AML1,CBFA2,PEBP2alphaB;AS$AML1_03;2
PEBP2alphaB2;AML1,CBFA2,PEBP2alphaB;PA$PY_04;2;G000650
TFIIF;beta/gamma,BTF4,FC,RAP30/74,TFIIF;AD$MLP_11;6;G000010
TFIIF;beta/gamma,BTF4,FC,RAP30/74,TFIIF;AD$MLP_17;6;G000010
TFIIF;beta/gamma,BTF4,FC,RAP30/74,TFIIF;AD2$IVA2_04;6;G000009
AML1b;Acute Myeloid Leukemia 1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,PEBP2alphaB1,RUNX1;AS$AML1B_01;4
AML1b;Acute Myeloid Leukemia 1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,PEBP2alphaB1,RUNX1;AS$AML1_02;2
AML1b;Acute Myeloid Leukemia 1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,PEBP2alphaB1,RUNX1;HS$LTB4R_01;6;G004614
AML1b;Acute Myeloid Leukemia 1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,PEBP2alphaB1,RUNX1;HS$LTB4R_02;6;G004614
AML1b;Acute Myeloid Leukemia 1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,PEBP2alphaB1,RUNX1;MOUSE$ADA_10;3;G000459
AML1c;AML-1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;HS$IL3_06;2;G000314
AML1c;AML-1B,AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;HS$IL3_08;2;G000314
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_01;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_02;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_03;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_04;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_05;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_06;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_07;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_08;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_09;6
Staf;Se-Cys tRNA gene transcription activating factor;AS$STAF_10;6
Staf;Se-Cys tRNA gene transcription activating factor;STAF$CONS_01;6
StuAp;;AS$STUAP_01;6
StuAp;;AS$STUAP_02;6
StuAp;;AS$STUAP_03;6
StuAp;;AS$STUAP_04;6
StuAp;;AS$STUAP_05;6
StuAp;;AS$STUAP_06;6
StuAp;;AS$STUAP_07;6
StuAp;;AS$STUAP_08;6
StuAp;;AS$STUAP_09;6
StuAp;;AS$STUAP_10;6
StuAp;;STUPAP$CONS_01;6
RBTN2-isoform1;LIM-only protein 2,LMO2a,RBTN2,Rhombotin-2,TTG-2;LM02COM$CONS_01;6
RBTN2-isoform1;LIM-only protein 2,LMO2a,RBTN2,Rhombotin-2,TTG-2;LM02COM$CONS_02;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_01;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_02;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_03;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_04;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_05;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_06;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_07;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_08;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_09;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_10;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_11;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_12;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_13;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_14;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_15;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_16;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_17;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_18;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_19;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_20;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_21;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_22;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_23;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_24;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_25;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_26;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_27;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_28;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_29;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_30;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_31;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_32;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_33;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_34;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_35;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_36;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_37;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_38;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_39;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_40;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_41;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_42;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_43;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_44;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_45;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_46;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_47;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_48;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_49;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_50;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_51;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_52;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_53;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_54;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_55;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_56;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_57;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_58;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_59;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_60;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_61;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2COM_62;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;AS$LMO2_01;3
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;LM02COM$CONS_01;6
RBTN2;LIM-only protein 2,RBTN2,Rhombotin-2,TTG-2;LM02COM$CONS_02;6
CLIM2;carboxy terminal LIM domain protein 2,Ldb1,LIM domain binding protein 1,NLI;AS$LMO2_01;3
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AML1$CONS_01;6
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_02;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_06;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_07;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_08;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_09;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_10;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_11;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_12;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_13;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_14;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_15;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_16;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_17;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_18;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_19;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_20;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_21;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_22;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_23;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_24;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_25;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_26;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_27;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_28;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_29;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_30;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_31;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_32;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_33;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_34;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_35;2
AML1a;AML1,CBF-alpha 2,CBFA2,PEBP2alphaB,RUNX1;AS$AML1_36;2
